S(t),I(t),H(t),C(t),R(t),D(t),date
52488539.0,241214.42857142858,19463.85714285714,2785.5714285714284,3309269.4285714286,285.42857142857144,2021-02-24
52481655.0,232279.0,18878.285714285714,2705.285714285714,3326000.285714286,264.2857142857143,2021-02-25
52475822.0,223684.14285714287,18281.714285714286,2626.4285714285716,3341931.1428571427,247.57142857142858,2021-02-26
52471607.0,215302.85714285713,17680.714285714286,2556.8571428571427,3357247.714285714,232.42857142857142,2021-02-27
52467518.0,207004.7142857143,17045.285714285714,2473.714285714286,3372078.285714286,220.57142857142858,2021-02-28
52461350.0,199010.14285714287,16421.0,2399.8571428571427,3386033.285714286,213.42857142857142,2021-03-01
52455461.0,191408.0,15776.142857142857,2324.714285714286,3399240.4285714286,199.28571428571428,2021-03-02
52450185.0,184270.42857142858,15133.0,2248.0,3411674.285714286,182.85714285714286,2021-03-03
52445214.0,177569.14285714287,14484.42857142857,2173.285714285714,3423411.1428571427,170.28571428571428,2021-03-04
52440524.0,171167.0,13866.285714285714,2103.1428571428573,3434691.285714286,164.57142857142858,2021-03-05
52436731.0,165104.85714285713,13261.714285714286,2026.2857142857142,3445581.0,154.71428571428572,2021-03-06
52433078.0,159354.57142857142,12680.714285714286,1957.5714285714287,3456108.8571428573,142.42857142857142,2021-03-07
52427303.0,153738.85714285713,12092.57142857143,1878.5714285714287,3466455.714285714,132.71428571428572,2021-03-08
52421856.0,148245.85714285713,11559.857142857143,1810.7142857142858,3476622.4285714286,127.0,2021-03-09
52416668.0,142984.7142857143,11030.57142857143,1741.4285714285713,3486548.714285714,123.0,2021-03-10
52411861.0,137871.85714285713,10554.57142857143,1675.0,3496306.285714286,120.0,2021-03-11
52407127.0,133002.57142857142,10117.285714285714,1599.7142857142858,3505836.5714285714,110.0,2021-03-12
52403558.0,128208.71428571429,9734.285714285714,1537.142857142857,3515263.714285714,105.71428571428571,2021-03-13
52399866.0,123510.0,9381.42857142857,1475.5714285714287,3524605.8571428573,101.14285714285714,2021-03-14
52394269.0,119136.71428571429,9012.285714285714,1415.7142857142858,3533602.0,96.28571428571429,2021-03-15
52389386.0,115057.28571428571,8654.857142857143,1355.857142857143,3542230.5714285714,89.42857142857143,2021-03-16
52384388.0,111330.28571428571,8346.42857142857,1299.5714285714287,3550483.8571428573,85.14285714285714,2021-03-17
52379753.0,108044.71428571429,8028.428571428572,1240.5714285714287,3558279.285714286,77.0,2021-03-18
